COUNTRY,ADJ_FORM,CUISINE_ID
afghanistan,afghan,1035
algeria,algerian,945
armenia,armenian,175
australia,australian,131
austria,austrian,201
azerbaijan,azerbaijani,581
bangladesh,bengali,10
belgium,belgian,132
brazil,brazilian,159
britain,british,133
burma,burmese,22
cambodia,cambodian,111
canada,canadian,381
chile,chilean,229
china,chinese,25
colombia,colombian,287
croatia,croatian,982
cuba,cuban,153
cyprus,cypriot,947
czech republic,czech,671
denmark,danish,203
dominica,dominican,958
dominican republic,dominican,958
ecuador,ecuadorian,316
egypt,egyptian,146
england,british,133
ethiopia,ethiopian,149
european union,european,38
fiji,fijian,1006
france,french,45
georgia,georgian,205
germany,german,134
great britain,british,133
greece,greek,156
guyana,guyanese,431
hungary,hungarian,228
india,indian,148
indonesia,indonesian,114
iran,iranian,140
iraq,iraqi,206
ireland,irish,135
israel,israeli,218
italy,italian,55
jamaica,jamaican,207
japan,japanese,60
kazakhstan,kazakh,208
kyrgyzstan,kyrgyz,946
laos,laotian,901
lebanon,lebanese,66
lithuania,lithuanian,331
macau,chinese,25
malaysia,malaysian,69
mauritius,mauritian,943
mexico,mexican,73
moldova,moldovan,591
mongolia,mongolian,74
morocco,moroccan,147
myanmar,burmese,22
nepal,nepalese,117
netherlands,dutch,204
new zealand,new zealand,961
nicaragua,nicaraguan,962
nigeria,nigerian,296
northern ireland,british,133
pakistan,pakistani,139
peru,peruvian,162
philippines,filipino,112
poland,polish,219
portugal,portuguese,87
puerto rico,puerto rican,361
romania,romanian,944
russia,russian,84
scotland,scottish,210
singapore,singaporean,119
somalia,somali,611
south africa,south african,267
spain,spanish,89
sri lanka,sri lankan,86
sweden,swedish,211
switzerland,swiss,213
syria,syrian,212
taiwan,taiwanese,190
tanzania,tanzanian,621
thailand,thai,95
tunisia,tunisian,761
turkey,turkish,142
ukraine,ukrainian,451
united arab emirates,emirati,288
united states,american,1
united states of america,american,1
uruguay,uruguayan,264
usa,american,1
uzbekistan,uzbek,771
venezuela,venezuelan,641
vietnam,vietnamese,99
wales,welsh,965
yemen,yemeni,1050
zambia,zambian,949
